iter	Passed	Remaining
205	623	2404
206	626	2399
207	628	2391
208	629	2383
209	631	2375
210	633	2367
211	635	2361
212	640	2366
213	642	2361
214	644	2353
215	646	2346
216	648	2338
217	649	2331
218	654	2334
219	656	2328
220	658	2320
221	659	2311
222	661	2304
223	663	2297
224	664	2289
225	666	2284
226	669	2278
227	670	2271
228	672	2264
229	674	2258
230	676	2251
231	680	2253
232	682	2246
233	683	2238
234	685	2232
235	687	2225
236	689	2219
237	690	2212
238	695	2215
239	697	2210
240	699	2202
241	700	2195
242	702	2188
243	704	2181
244	705	2175
245	708	2170
246	710	2165
247	711	2158
248	714	2153
249	716	2148
250	720	2149
251	724	2149
252	725	2143
253	728	2138
254	730	2132
255	731	2126
256	736	2128
257	738	2124
258	741	2120
259	742	2114
260	744	2107
261	745	2100
262	747	2094
263	749	2090
264	751	2085
265	753	2078
266	754	2072
267	756	2066
268	758	2059
269	764	2066
270	767	2063
271	768	2057
272	772	2055
273	777	2059
274	780	2058
275	783	2055
276	791	2066
277	795	2064
278	804	2079
279	806	2075
280	808	2069
281	811	2065
282	816	2067
283	818	2063
284	820	2058
285	909	2270
286	959	2383
287	973	2407
288	1008	2481
289	1045	2560
290	1087	2648
291	1108	2687
292	1120	2704
293	1170	2809
294	1211	2894
295	1219	2899
296	1228	2908
297	1231	2901
298	1234	2894
299	1236	2884
300	1237	2874
301	1245	2877
302	1247	2868
303	1248	2859
304	1250	2849
305	1252	2839
306	1269	2864
307	1297	2916
308	1311	2933
309	1327	2954
310	1376	3050
311	1391	3067
312	1394	3061
313	1403	3065
314	1405	3056
315	1424	3084
316	1456	3137
317	1471	3154
318	1484	3168
319	1494	3176
320	1497	3167
321	1518	3196
322	1532	3211
323	1535	3203
324	1583	3289
325	1599	3306
326	1603	3299
327	1612	3304
328	1625	3315
329	1627	3304
330	1641	3317
331	1643	3307
332	1659	3324
333	1667	3325
334	1683	3342
335	1689	3338
336	1691	3328
337	1693	3316
338	1708	3330
339	1711	3321
340	1714	3314
341	1729	3326
342	1731	3316
343	1739	3318
344	1758	3339
345	1775	3356
346	1784	3358
347	1800	3373
348	1814	3384
349	1820	3380
350	1848	3417
351	1858	3421
352	1860	3410
353	1863	3400
354	1872	3402
355	1922	3477
356	1942	3497
357	1959	3513
358	1964	3508
359	1993	3543
360	1995	3532
361	2028	3574
362	2043	3586
363	2058	3597
364	2075	3611
365	2107	3650
366	2112	3643
367	2117	3635
368	2119	3624
369	2121	3612
370	2128	3609
371	2130	3597
372	2132	3584
373	2145	3591
374	2148	3580
375	2150	3569
376	2164	3576
377	2181	3589
378	2196	3599
379	2226	3632
380	2231	3625
381	2254	3648
382	2276	3667
383	2308	3703
384	2332	3725
385	2371	3772
386	2456	3890
387	2487	3923
388	2531	3976
389	2547	3984
390	2577	4015
391	2596	4026
392	2624	4053
393	2639	4059
394	2656	4068
395	2706	4127
396	2721	4134
397	2813	4255
398	2825	4255
399	2897	4345
400	2941	4394
401	2970	4418
402	3038	4501
403	3100	4574
404	3116	4578
405	3175	4646
406	3242	4724
407	3257	4726
408	3259	4710
409	3337	4802
410	3349	4800
411	3378	4822
412	3382	4807
413	3384	4790
414	3386	4773
415	3397	4770
416	3400	4754
417	3403	4738
418	3406	4723
419	3433	4741
420	3438	4728
421	3452	4728
422	3464	4726
423	3471	4716
424	3493	4726
425	3499	4714
426	3510	4711
427	3523	4709
428	3527	4694
429	3530	4679
430	3542	4676
431	3551	4669
432	3562	4665
433	3565	4650
